rho,T,lambda,alpha,C,K,p,num_servers,E[N] according to the arrival process,E[N] according to the observer process,PIdle,PLoss
0.4,20000,40,36,2e+06,50,1,1,0.533061,0.53292,0.600169,0
0.5,20000,50,45,2e+06,50,1,1,0.75248,0.751593,0.499766,0
0.6,20000,60,54,2e+06,50,1,1,1.05108,1.05046,0.399795,0
0.7,20000,70,63,2e+06,50,1,1,1.51963,1.51804,0.300402,0
0.8,20000,80,72,2e+06,50,1,1,2.40792,2.40709,0.199774,0
0.9,210000,90,81,2e+06,50,1,1,9.75502e+11,1.08486e+12,0.0156016,1.4807e-06
1,220000,100,90,2e+06,50,1,1,8.38327e+11,9.31709e+11,0.000734336,0.000392061
1.1,110000,110,99,2e+06,50,1,1,47.7493,47.8402,6.79847e-06,0.091239
1.2,20000,120,108,2e+06,50,1,1,50.192,50.3626,0,0.166743
1.3,210000,130,117,2e+06,50,1,1,50.9525,51.1837,8.14086e-08,0.230966
1.4,20000,140,126,2e+06,50,1,1,51.3163,51.6021,0,0.285269
1.5,210000,150,135,2e+06,50,1,1,51.5239,51.8577,7.05612e-08,0.333379
1.6,20000,160,144,2e+06,50,1,1,51.6499,52.0242,0,0.374725
1.7,220000,170,153,2e+06,50,1,1,51.7371,52.149,1.18855e-07,0.411727
1.8,220000,180,162,2e+06,50,1,1,51.7972,52.2416,2.80622e-08,0.444487
1.9,20000,190,171,2e+06,50,1,1,51.839,52.3127,0,0.473458
2,210000,200,180,2e+06,50,1,1,51.8727,52.3727,2.6458e-08,0.500222
