rho,T,lambda,alpha,C,K,p,num_servers,E[N] according to the arrival process,E[N] according to the observer process,PIdle,PLoss
2,220000,200,180,2e+06,100,1,1,101.872,102.372,7.57599e-08,0.499969
2.2,210000,220,198,2e+06,100,1,1,101.916,102.461,4.81065e-08,0.545438
2.4,220000,240,216,2e+06,100,1,1,101.942,102.525,6.31276e-08,0.583358
2.6,220000,260,234,2e+06,100,1,1,101.959,102.575,7.77227e-08,0.61544
2.8,20000,280,252,2e+06,100,1,1,101.97,102.613,0,0.643064
3,220000,300,270,2e+06,100,1,1,101.979,102.645,5.05188e-08,0.666651
