rho,T,lambda,alpha,C,K,p,num_servers,E[N] according to the arrival process,E[N] according to the observer process,PIdle,PLoss
2,20000,200,180,2e+06,10,1,1,11.8724,12.3719,0,0.500137
2.2,20000,220,198,2e+06,10,1,1,11.9155,12.4597,0,0.545174
2.4,210000,240,216,2e+06,10,1,1,11.9424,12.5258,8.81816e-08,0.58331
2.6,210000,260,234,2e+06,10,1,1,11.9596,12.5751,2.03533e-08,0.615375
2.8,20000,280,252,2e+06,10,1,1,11.971,12.6134,0,0.642846
3,210000,300,270,2e+06,10,1,1,11.9789,12.6457,1.76368e-08,0.666732
