rho,T,lambda,alpha,C,K,p,num_servers,E[N] according to the arrival process,E[N] according to the observer process,PIdle,PLoss
2,20000,200,180,2e+06,50,1,1,51.8725,52.373,0,0.500329
2.2,20000,220,198,2e+06,50,1,1,51.9155,52.4617,0,0.545321
2.4,20000,240,216,2e+06,50,1,1,51.9416,52.5245,0,0.58357
2.6,20000,260,234,2e+06,50,1,1,51.9593,52.5749,0,0.615636
2.8,220000,280,252,2e+06,50,1,1,51.971,52.6138,1.8037e-08,0.642814
3,210000,300,270,2e+06,50,1,1,51.9789,52.6455,3.52818e-08,0.666708
